reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOEJxwVuiMfXZVFxat9X_6p-HlSN20URYDOubwJZqLFq8nONvL9uDrnqKbw02DdmdmJCkHqDX900fQMYbg,Nathaniel Nolan,https://play-lh.googleusercontent.com/a-/AOh14GhTsFvtIfScTEzWLRV-du_uz3dCkNyvnG7WPbx14Wk,I cancelled my subscription back in June of last year and just realized my membership had been reinstated without my permission. I would like a refund for the months between now and then and (another) confirmation that my subscription is cancelled.,1,1,1.4.5,3/8/2019 0:44,"Hi Nathaniel, sorry to hear about the trouble. Please email us at admin@habitica.com for assistance with payment issues and we'll look into it right away.",3/21/2019 2:40,newest,com.habitrpg.android.habitica
gp:AOqpTOFGDIKRF2v4qjFKHcg83WCBA3UXAUebyGaQmdRpGwWabqSIndXnSdGdCcMzKuw3aniqPExqf1SgJrajZA,Tarot Indigo,https://play-lh.googleusercontent.com/a-/AOh14GilSXgsRRRNUoFc0M8jLnjGvH20S769wxDWlwpbDw,"Literally WILL NOT WORK, every single time i click on this app it says ""Habitica has stopped working"" I cant even open the app!!! Please fix this, i really want to use this app",1,0,,3/5/2019 23:02,"Hi Nonce, thanks for your thoughtful review! You may have run into some server issues we had at the time you posted- let us know if you're still having trouble via Menu&gt;About&gt;Report a Bug and the team will look into it.",3/6/2019 2:31,newest,com.habitrpg.android.habitica
gp:AOqpTOFyGo7Bo16FLrJ_bYtaErCWmyr85uo-0i78-Tq8xqojh7yLklcDGTGMKAt7H3I0Gzi21knldSfTUaJRAA,Sani Williams,https://play-lh.googleusercontent.com/a-/AOh14Gjsa-ZsS3EglOjr3FQakiWg9R2I09slS7X7UbAn8lM,Está dando problemas.,1,0,1.7.1,3/5/2019 16:46,"Hi Sani,  You may have run into some server issues we had at the time you posted- let us know if you're still having trouble via Menu- About -Report a Bug and the team will look into it.",3/6/2019 2:35,newest,com.habitrpg.android.habitica
gp:AOqpTOGmB8yFOicxL9CMmSiQC3YqT5x4euWW6ZKV6I8tz50rLLqknULYsfuROp_noN7SizWf88QFngaPV2kZfw,erza ethan,https://play-lh.googleusercontent.com/a-/AOh14Gj-uv9Fg8Y6TsTpoQC6ZSSC6vrvgkyGQaLn5J9E,Just installed. Keyed in all tasks n to-do list. Server error. Lost everything. Redo. Server error. Lost. Kept repeating. Frustrating = Uninstalled.,1,0,,3/5/2019 15:58,"Hi Erza,  You may have run into some server issues we had at the time you posted- let us know if you're still having trouble via Menu- About -Report a Bug and the team will look into it.",3/6/2019 2:35,newest,com.habitrpg.android.habitica
gp:AOqpTOHEhkjCR04dQBrdcp_HH5sAxibar-IgF7twnFCsfIvgGEi3Joauuz5lWtVGXpaGC--IbtbR0iTZ9FFdhQ,Jadelyn Cerezo,https://play-lh.googleusercontent.com/a-/AOh14GjGqVNIB_EGDPrXI-6n-G7jXTPZ-WxNjCOmDjtH3g,I downloaded this app because I thought that the game concept for to-do lists would be really cool. Opened the app just after downloading and tried to register an account and it wouldn't let me log in. Waited another hour and it still wasn't working. Call me impatient but I just couldn't use an app that refused to work.,1,0,,3/5/2019 14:46,Hi Jadelyn  You may have run into some server issues we had at the time you posted- let us know if you're still having trouble via Menu- About -Report a Bug and the team will look into it.,3/6/2019 2:35,newest,com.habitrpg.android.habitica
gp:AOqpTOEETzYXtv7p6zwwLHqce3wwVxTuazMf_tHPGDpFOz98m_wN0X0M72mc6lNMsZZjY3MelhqzjpSGexcsiw,Reece Parry,https://play-lh.googleusercontent.com/a-/AOh14GhFQ-fPL76KE31mssj6JF82Kn8syD9HuWjfgZ0x8g,Constant connection drop outs. Will update review when this is fixed.,1,1,1.7.1,3/5/2019 12:25,"Hi Reece,  You may have run into some server issues we had at the time you posted- let us know if you're still having trouble via Menu- About -Report a Bug and the team will look into it.",3/6/2019 2:35,newest,com.habitrpg.android.habitica
gp:AOqpTOFp_0w1ynTfRTRj7OL3WQ9Q4QBUaegwp_VuTrvBRqyJJ7dkzpgFkiAHmxhriiJV2mVEyytwycj2_1QiZQ,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"nothing but connection error after connection error. the concept is great, but I can't even manage to use the service because any time I try to do anything, that's all I'm getting.",1,3,1.7.1,3/5/2019 9:15,"Hi there,  You may have run into some server issues we had at the time you posted- let us know if you're still having trouble via Menu- About -Report a Bug and the team will look into it.",3/6/2019 2:36,newest,com.habitrpg.android.habitica
gp:AOqpTOHZZF87e6TzkPpBIcq5L28Egz848l3b9FyZn6DWB-T6meOxmxW-Wif8K3TCjr5f7VZvSWZbso-izuANFw,Mr M,https://play-lh.googleusercontent.com/a-/AOh14Gifq5FXY-l7EdhVLVmRMip2FZc3N7oBJeF5L9sq,Why do you need personal information?? Deleted.,1,2,1.7.1,2/18/2019 2:10,"Hi Mr M, we're not sure what you're referencing. If you'd like to share any comments or concerns with us, please feel free to contact us at mobile@habitica.com",2/21/2019 5:07,newest,com.habitrpg.android.habitica
gp:AOqpTOF8l6dEhsVTVxnKEbKsX68cOZHYv-qjHoF2tt2PXokWa3fBpNYvG-L58BW7v_6jLGRDfRnLJpodwGjrdg,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Ever get a phone call from a Salesman whom you don't remember giving your phone number out to? this is the app that does it. it reads your phone number and identity and uploads it to the cloud where it can later be sold to the highest bidder. this app makes sure that it gets your identity because you have to login before you can even use it. once you log in, the game is a huge disappointment. mypoli has everything over this.",1,1,1.7.1,2/17/2019 4:58,"Hi there, we're not sure what you're referencing here. We do not sell or share our users' information. If you believe you've found an issue within our app that you'd like to bring to our attention, you can email us at mobile@habitica.com",2/21/2019 5:06,newest,com.habitrpg.android.habitica
gp:AOqpTOETaBXxSMegKRj5HmKl--TuEGv1yr7pyfg9NctUyai3OBH3L6JdJppEk3MwbCRZq8g7iH1p6LMlJyCPPA,Kyle Hellman,https://play-lh.googleusercontent.com/a-/AOh14GjyVslKXALt1SBcqZyfQ-EuOo_oXeMCvPvC1WeZiQ,"They banned me from the chat for saying SLAYER, as in the band!! WEAK!! POLITICAL CORRECTNESS HAS GONE WAAAY TO FAR!!",1,0,,2/15/2019 3:38,,,newest,com.habitrpg.android.habitica
